Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,1,1,1,1,1,1,1,1
8.880725250,1,1,1,1,1,1,0,1
8.880733417,1,1,1,1,1,1,1,1
8.880835708,1,1,1,1,1,1,0,1
8.880844792,1,1,1,1,1,1,1,1
8.880875542,1,1,1,1,1,1,0,1
8.880893083,1,1,1,1,1,1,1,1
8.880916667,1,1,1,1,1,1,0,1
8.880930625,1,1,1,1,1,1,1,1
8.880947750,1,1,1,1,1,1,0,1
8.880953667,1,1,1,1,1,1,1,1
8.880967417,1,1,1,1,1,1,0,1
8.880973500,1,1,1,1,1,1,1,1
8.881033333,1,1,1,1,1,1,0,1
8.881475542,1,1,1,1,1,1,1,1
8.881478167,1,1,1,1,1,1,0,1
8.881483000,1,1,1,1,1,1,1,1
8.881485625,1,1,1,1,1,1,0,1
8.881488000,1,1,1,1,1,1,1,1
8.881492375,1,1,1,1,1,1,0,1
8.881494708,1,1,1,1,1,1,1,1
8.881497375,1,1,1,1,1,1,0,1
8.881502208,1,1,1,1,1,1,1,1
8.881504833,1,1,1,1,1,1,0,1
8.881507167,1,1,1,1,1,1,1,1
8.881524542,1,1,1,1,1,1,0,1
8.881534333,1,1,1,1,1,1,1,1
8.881545958,1,1,1,1,1,1,0,1
8.881548292,1,1,1,1,1,1,1,1
8.881550958,1,1,1,1,1,1,0,1
8.881566000,1,1,1,1,1,1,1,1
8.881571125,1,1,1,1,1,1,0,1
8.881575958,1,1,1,1,1,1,1,1
8.881583625,1,1,1,1,1,1,0,1
8.881607125,1,1,1,1,1,1,1,1
8.881613500,1,1,1,1,1,1,0,1
8.881615833,1,1,1,1,1,1,1,1
8.881618500,1,1,1,1,1,1,0,1
8.881620833,1,1,1,1,1,1,1,1
8.881637208,1,1,1,1,1,1,0,1
8.881639542,1,1,1,1,1,1,1,1
8.881644667,1,1,1,1,1,1,0,1
8.881654500,1,1,1,1,1,1,1,1
8.881660875,1,1,1,1,1,1,0,1
8.881663208,1,1,1,1,1,1,1,1
8.881668333,1,1,1,1,1,1,0,1
8.881673167,1,1,1,1,1,1,1,1
8.881675792,1,1,1,1,1,1,0,1
8.881686875,1,1,1,1,1,1,1,1
8.881692000,1,1,1,1,1,1,0,1
8.881696833,1,1,1,1,1,1,1,1
8.881699500,1,1,1,1,1,1,0,1
8.881708083,1,1,1,1,1,1,1,1
8.881710708,1,1,1,1,1,1,0,1
8.881713042,1,1,1,1,1,1,1,1
8.881715667,1,1,1,1,1,1,0,1
8.881718042,1,1,1,1,1,1,1,1
8.881720667,1,1,1,1,1,1,0,1
8.881723000,1,1,1,1,1,1,1,1
8.881725667,1,1,1,1,1,1,0,1
8.881749167,1,1,1,1,1,1,1,1
8.881755583,1,1,1,1,1,1,0,1
8.881826417,1,1,1,1,1,1,1,1
8.881850250,1,1,1,1,1,1,0,1
8.881876250,1,1,1,1,1,1,1,1
8.881878875,1,1,1,1,1,1,0,1
8.881881250,1,1,1,1,1,1,1,1
8.881883875,1,1,1,1,1,1,0,1
8.881886250,1,1,1,1,1,1,1,1
8.881891375,1,1,1,1,1,1,0,1
8.881897458,1,1,1,1,1,1,1,1
8.881900083,1,1,1,1,1,1,0,1
8.881902417,1,1,1,1,1,1,1,1
8.881910042,1,1,1,1,1,1,0,1
8.881923375,1,1,1,1,1,1,1,1
8.881928500,1,1,1,1,1,1,0,1
8.881930833,1,1,1,1,1,1,1,1
8.881933458,1,1,1,1,1,1,0,1
8.881935833,1,1,1,1,1,1,1,1
8.881938458,1,1,1,1,1,1,0,1
8.881940792,1,1,1,1,1,1,1,1
8.882973083,1,1,1,1,1,1,0,1
8.882975375,1,1,1,1,1,1,1,1
8.882978042,1,1,1,1,1,1,0,1
8.882980375,1,1,1,1,1,1,1,1
8.882985500,1,1,1,1,1,1,0,1
8.883004792,1,1,1,1,1,1,1,1
8.883012208,1,1,1,1,1,1,0,1
8.883015375,1,1,1,1,1,1,1,1
8.883020833,1,1,1,1,1,1,0,1
8.883044917,1,1,1,1,1,1,1,1
8.883050042,1,1,1,1,1,1,0,1
8.883076417,1,1,1,1,1,1,1,1
8.883079167,1,1,1,1,1,1,0,1
8.883081875,1,1,1,1,1,1,1,1
8.883084625,1,1,1,1,1,1,0,1
8.883086417,1,1,1,1,1,1,1,1
8.883094667,1,1,1,1,1,1,0,1
8.883097000,1,1,1,1,1,1,1,1
8.883102167,1,1,1,1,1,1,0,1
8.883111958,1,1,1,1,1,1,1,1
8.883121042,1,1,1,1,1,1,0,1
8.883126500,1,1,1,1,1,1,1,1
8.883134750,1,1,1,1,1,1,0,1
8.883137458,1,1,1,1,1,1,1,1
8.883144458,1,1,1,1,1,1,0,1
8.883147167,1,1,1,1,1,1,1,1
8.883155417,1,1,1,1,1,1,0,1
8.883242125,1,1,1,1,1,1,1,1
8.883246750,1,1,1,1,1,1,0,1
8.883253000,1,1,1,1,1,1,1,1
8.883260625,1,1,1,1,1,1,0,1
8.883267958,1,1,1,1,1,1,1,1
8.883270583,1,1,1,1,1,1,0,1
8.883277917,1,1,1,1,1,1,1,1
8.883285542,1,1,1,1,1,1,0,1
8.883295375,1,1,1,1,1,1,1,1
8.883303750,1,1,1,1,1,1,0,1
8.883308583,1,1,1,1,1,1,1,1
8.883311208,1,1,1,1,1,1,0,1
8.883316042,1,1,1,1,1,1,1,1
8.883325417,1,1,1,1,1,1,0,1
8.883327750,1,1,1,1,1,1,1,1
8.883335417,1,1,1,1,1,1,0,1
8.889641250,1,1,1,1,1,1,1,1
8.889643875,1,1,1,1,1,1,0,1
8.889648708,1,1,1,1,1,1,1,1
8.889651333,1,1,1,1,1,1,0,1
8.889653708,1,1,1,1,1,1,1,1
8.889658083,1,1,1,1,1,1,0,1
8.889662917,1,1,1,1,1,1,1,1
8.889668042,1,1,1,1,1,1,0,1
8.889670375,1,1,1,1,1,1,1,1
8.889673042,1,1,1,1,1,1,0,1
8.889682625,1,1,1,1,1,1,1,1
8.889690250,1,1,1,1,1,1,0,1
8.889700042,1,1,1,1,1,1,1,1
8.889711667,1,1,1,1,1,1,0,1
8.889714000,1,1,1,1,1,1,1,1
8.889716667,1,1,1,1,1,1,0,1
8.889731708,1,1,1,1,1,1,1,1
8.889736833,1,1,1,1,1,1,0,1
8.889741667,1,1,1,1,1,1,1,1
8.889749292,1,1,1,1,1,1,0,1
8.889772833,1,1,1,1,1,1,1,1
8.889779208,1,1,1,1,1,1,0,1
8.889781542,1,1,1,1,1,1,1,1
8.889784208,1,1,1,1,1,1,0,1
8.889786542,1,1,1,1,1,1,1,1
8.889802917,1,1,1,1,1,1,0,1
8.889805250,1,1,1,1,1,1,1,1
8.889810375,1,1,1,1,1,1,0,1
8.889820208,1,1,1,1,1,1,1,1
8.889826583,1,1,1,1,1,1,0,1
8.889828917,1,1,1,1,1,1,1,1
8.889834042,1,1,1,1,1,1,0,1
8.889838875,1,1,1,1,1,1,1,1
8.889841542,1,1,1,1,1,1,0,1
8.889852625,1,1,1,1,1,1,1,1
8.889857750,1,1,1,1,1,1,0,1
8.889862583,1,1,1,1,1,1,1,1
8.889865208,1,1,1,1,1,1,0,1
8.889873792,1,1,1,1,1,1,1,1
8.889876417,1,1,1,1,1,1,0,1
8.889878792,1,1,1,1,1,1,1,1
8.889881417,1,1,1,1,1,1,0,1
8.889883750,1,1,1,1,1,1,1,1
8.889886375,1,1,1,1,1,1,0,1
8.889888750,1,1,1,1,1,1,1,1
8.889891375,1,1,1,1,1,1,0,1
8.889914917,1,1,1,1,1,1,1,1
8.889921292,1,1,1,1,1,1,0,1
8.889992208,1,1,1,1,1,1,1,1
8.890016042,1,1,1,1,1,1,0,1
8.890042042,1,1,1,1,1,1,1,1
8.890044667,1,1,1,1,1,1,0,1
8.890047042,1,1,1,1,1,1,1,1
8.890049667,1,1,1,1,1,1,0,1
8.890052000,1,1,1,1,1,1,1,1
8.890057167,1,1,1,1,1,1,0,1
8.890063250,1,1,1,1,1,1,1,1
8.890065875,1,1,1,1,1,1,0,1
8.890068208,1,1,1,1,1,1,1,1
8.890075833,1,1,1,1,1,1,0,1
8.890089167,1,1,1,1,1,1,1,1
8.890094292,1,1,1,1,1,1,0,1
8.890096625,1,1,1,1,1,1,1,1
8.890099250,1,1,1,1,1,1,0,1
8.890101625,1,1,1,1,1,1,1,1
8.890104250,1,1,1,1,1,1,0,1
8.890106583,1,1,1,1,1,1,1,1
8.891138833,1,1,1,1,1,1,0,1
8.891141167,1,1,1,1,1,1,1,1
8.891143792,1,1,1,1,1,1,0,1
8.891146125,1,1,1,1,1,1,1,1
8.891151292,1,1,1,1,1,1,0,1
8.891170583,1,1,1,1,1,1,1,1
8.891177958,1,1,1,1,1,1,0,1
8.891181125,1,1,1,1,1,1,1,1
8.891186625,1,1,1,1,1,1,0,1
8.891210708,1,1,1,1,1,1,1,1
8.891215833,1,1,1,1,1,1,0,1
8.891242167,1,1,1,1,1,1,1,1
8.891244917,1,1,1,1,1,1,0,1
8.891247667,1,1,1,1,1,1,1,1
8.891250417,1,1,1,1,1,1,0,1
8.891252167,1,1,1,1,1,1,1,1
8.891260458,1,1,1,1,1,1,0,1
